"flux_conversion_id";"m_gas_sfrhalpha24";"l_co_sfrhalpha24";"flux_10_sfrhalpha24";"flux_32_sfrhalpha24"
"001009";3.0136915420693247;0.655150335232462;223629947450184670;2012471648192544500
"001054";12.436243541854182;2.7035312047509095;922827187494086000;8304628124222095000
"004054";3.301053699392791;0.7176203694332155;178576683483250240;1607032137850632700
"005439";5.002628414494217;1.0875279161943952;394395811656924860;3549213323954535000
"005527";7.860397149417717;1.7087819890038518;1266373543415811600;11396241340678033000
"015028";12.099786128364553;2.630388288774903;2534795343241550000;22810915176646640000
"020356";4.644373364341476;1.009646383552495;579652986303714400;5216363971047399000
"021348";8.399850808163606;1.8260545235138277;773099954911860000;6957215517056937000
"032845";3.424839444652356;0.74453031405486;770374887152132200;6932692318494378000
"035733";3.3478085492477168;0.7277844672277646;356833644763624200;3211187058781426700
"040208";1.2195724046379435;0.2651244357908573;286632180759639800;2579436000479636500
"080232";12.74803196553824;2.77131129685614;778143702633968800;7002604783597998000
"080844";3.509434249094699;0.7629204889336302;1963264476444359400;17667643094304137000
"082001";9.187175263791485;1.9972120138677143;861770708857685000;7755173842292338000
"082550";2.684980803826261;0.5836914790926655;497747274045731100;4479285034958457000
"083803";1.8207243835339073;0.3958096485943277;403684547146954240;3632803724231349000
"092159";12.720158736328985;2.765251899201953;1011688730352387000;9104303380850296000
"092336";1.7537308686145037;0.381245841003153;156926665604516260;1412201133950677000
"092600";4.123077247193622;0.8963211406942658;562649132746197570;5063344334881973000
"093813";4.172915265600028;0.9071554925217454;1849193734578371600;16641107352955238000
"101211";1.7865570222118454;0.38838196135040126;129242051358955230;1163064102459177500
"102613";3.952610292816964;0.8592631071341227;695524979503796600;6259109380566710000
"113303";1.9199416616360372;0.4173786220947907;144929607925413630;1304238230429881900
"124819";5.993381027160403;1.3029089189479137;386562891084470660;3478723969758716400
"135355";8.925069410232899;1.940232480485413;1011849494132176100;9105750112616640000
"143417";10.543109456368214;2.291980316601786;1455291252030782000;13096333554462680000
"210358";25.986179531160175;5.649169463295691;6292008916952731000;56622512771294716000
"214500";4.164103898264773;0.9052399778836463;443840306079070140;3994170022815037400
"231812";17.061280514983793;3.708974024996477;1174097431858977300;10565837987142621000
"232539";2.8412719489061926;0.6176678149796071;160693614543306080;1446100341216699400
"235347";3.1125976101322013;0.6766516543765656;275940992915045300;2483224769971074600
